"","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V102","V104","V106","V107","V108","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","Class"
"836",0.568850907376423,0.679068195992021,0.662331424745052,0.658174193678336,0.680441338388954,0.516390723396376,0.530351352771059,0.65253298567408,0.64805321110502,0.795629175968277,0.798010940543492,0.627701500224617,0.615349041363196,0.647824558312355,0.591425224519704,0.604346239029338,0.517033668558987,0.552554667084732,0.678537837606654,0.679617957562361,0.580461766179802,0.592858686622532,0.629569852184115,0.669638222089421,0.661664683486492,0.618248847926267,0.622478869613567,0.580666629025838,0.578966992686457,0.630284287790156,0.627271897152469,0.657319980925131,0.646044244469441,0.786833855799373,0.813902572523262,0.813902572523262,0.813902572523262,0.813902572523262,0.803173634421727,0.409422109925381,0.439337057321919,0.402854839141833,0.466028228677899,0.649206757769665,0.724478348963566,0.620450672560382,0.328752628300801,0.388422174961336,0.209815244244237,0.211090699968037,0.527626555068636,0.426083672551571,0.481708741061188,0.427240385656375,0.362605670581152,0.390294797326048,0.453445403511353,0.508034754322761,0.527568737517266,0.43512993682418,0.462757843373697,"9"
"679",0.507817652850405,0.502304209980168,0.511384097967664,0.554770043556746,0.555549870128954,0.428344825830211,0.433736866973133,0.661767240545933,0.669002705301803,0.774193134828642,0.787331926636204,0.724666360956618,0.72559309585528,0.72955423381469,0.699748287825243,0.757768683659963,0.709947981710338,0.709079076749707,0.769217457828726,0.770165125443339,0.711155984255986,0.716160719382229,0.376279684557009,0.378996848620421,0.364008454286844,0.392814984240913,0.40017984593577,0.34850640113798,0.39683243330378,0.542715100094213,0.561314429893067,0.540831391784181,0.531553912903744,0.808150470219435,0.832512315270936,0.832512315270936,0.832512315270936,0.832512315270936,0.822856270979554,0.254190567998954,0.333920420820614,0.377633087879984,0.32246565179597,0.340558328676028,0.426473157300749,0.416530340482415,0.238460747275475,0.270491843975039,0.102591522512494,0.113340885561609,0.608971843625912,0.639004086673345,0.651147656002771,0.548659648198549,0.537460963751301,0.58393449469058,0.621605425076663,0.463553455640863,0.478553377044727,0.41469993590807,0.44508864115656,"7"
"129",0.0158067153654479,0.0166858616324322,0.00922957431586235,0.0347967109484259,0.0299281002761286,0.0285969515509223,0.0142580345002044,0.0122943561664899,0.01648221141536,0.0228525110016291,0.0201102344296712,0.071153552744174,0.128350855828119,0.123109007201428,0.0427407964036973,0.097997589437265,0.148711427914424,0.16561945274372,0.0326445645421782,0.0726140571131969,0.190996505833435,0.143309554411515,0.135987088071768,0.138049725642208,0.0806884673123437,0.137304351372293,0.119135517496101,0.0969871501340932,0.134738103665182,0.159599836059466,0.125847399612729,0.0778254649499284,0.076490438695163,0,0.126984126984127,0.126984126984127,0.126984126984127,0.126984126984127,0.076652785007809,0.412914138353298,0.263862839001207,0.299004367717758,0.350305153178346,0.399359693483939,0.355786624074806,0.357618246565058,0.466828810112722,0.51784438829807,0.123451141918957,0.133742102193694,0.61685820814081,0.550249661981596,0.595181957394275,0.561111015167097,0.570893480762582,0.62824351857616,0.680239719010431,0.656588402964362,0.643217939239578,0.438274876056765,0.472911248959879,"2"
"930",0.409631124970819,0.521736262946741,0.541182610960638,0.440918890259156,0.433809952150112,0.330439977796395,0.325594727724649,0.47806063634534,0.468679424729456,0.604247460722058,0.61450211324934,0.792514803735564,0.762297388774973,0.763319995298089,0.748896033817842,0.813548387988282,0.731358372913349,0.735113361412119,0.833443961097295,0.84347999648389,0.818729972540791,0.835050129710028,0.525426813409916,0.557476198974653,0.546795542657489,0.367344310124849,0.379294529530609,0.418456240173691,0.467227056255059,0.518389028758789,0.496999158957107,0.535050071530758,0.525871766029246,0.808150470219435,0.832512315270936,0.832512315270936,0.832512315270936,0.832512315270936,0.822856270979554,0.276608411472316,0.297016240190192,0.340489533669274,0.373793694620037,0.392705905130563,0.476745906382523,0.465411186793809,0.299069801322947,0.334641955751312,0.11140249396954,0.122951929624141,0.634046133138108,0.560880786466847,0.565557613301167,0.633452967991965,0.633163563850814,0.626241702752217,0.665786666018411,0.652428297102409,0.652767217795608,0.43905159275225,0.470139683657572,"10"
"509",0.211114101433644,0.362297325874953,0.347529031700095,0.338175948490677,0.302333837089368,0.286485799424038,0.226154402400555,0.320399784374516,0.329334641046712,0.367092211022825,0.375052615130394,0.234154416529718,0.189535054377612,0.172424148599596,0.186420149769062,0.318603320079047,0.343197154505816,0.238905277922391,0.262452441332396,0.294735176730464,0.237439882885361,0.192864611634239,0.460845131798772,0.525454903764041,0.514001388567461,0.428018433179724,0.419633060771973,0.444203253510733,0.466622695629813,0.514281583835889,0.509304817974288,0.468980788353979,0.460935842322035,0.126018808777429,0.426848775685985,0.237000547345375,0.237000547345375,0.237000547345375,0.193011901129082,0.282411554770143,0.639796138251162,0.639757639563265,0.465001273537209,0.375590589434342,0.298412765143921,0.277413354288417,0.231187679534422,0.265243290228908,0.232931201755959,0.256998411684832,0.310869215580213,0.0524301849590786,0.133781783324889,0.261890988349853,0.383409177375594,0.267888423375068,0.250182638004576,0.184814236987631,0.233600164204364,0.152588797192334,0.173070898763493,"6"
"471",0.786767048467161,0.75692712608191,0.823418767193562,0.747894913923126,0.710873697577232,0.73538013031633,0.823042748196415,0.89011405420396,0.852982239508338,0.787284600347696,0.846200450534328,0.610268060836648,0.690294539491028,0.608878315566433,0.609633527200441,0.689211350335277,0.841985900681926,0.874548967933767,0.7807553845128,0.741927875745249,0.623102567873025,0.609196586811749,0.566282325285802,0.507727644421893,0.508977524373907,0.425558557126966,0.421205433341354,0.513696808853939,0.631183441083521,0.529180579984608,0.513868507293872,0.468182789864009,0.472570239064945,1,1,1,1,1,1,0.371529697822758,0.354937380794828,0.410153380895915,0.46421594190841,0.511473554556502,0.29258307469419,0.174238047818669,0.156312127625038,0.269455115371566,0.178194160962479,0.172509093716511,0.701249806976583,0.758010639810842,0.815355888928726,0.727909184167594,0.774021529475582,0.640452578839752,0.576955403756781,0.598265146949139,0.663780141459909,0.564763248148488,0.557601276945949,"5"
"299",0.585761583920163,0.511004626577152,0.580116951836997,0.511968250183402,0.534155233337094,0.429295916547664,0.408263595166336,0.579356519211191,0.610391451102305,0.773476529208271,0.803680100275295,0.587392511377157,0.680136207674368,0.632951644401059,0.637561614933312,0.767179131049988,0.714654688167085,0.560781418248955,0.677667499401189,0.705807194731825,0.599942212514029,0.561807589448907,0.636945847861666,0.567012595635737,0.556562107673371,0.44702744586273,0.562471842856676,0.551396271617878,0.480156129721067,0.470950855098923,0.550002281899322,0.672579876013353,0.632221117709123,0.76551724137931,0.795292829775588,0.795292829775588,0.795292829775588,0.795292829775588,0.7834909978639,0.488639257409837,0.345793322709306,0.428442372529087,0.391422420265123,0.351209532460438,0.378421139221337,0.615574433935502,0.339987868017972,0.327436661901503,0.18260645727157,0.22419829769377,0.507019095986943,0.581653428880771,0.570303638824227,0.57808922892546,0.469090084229937,0.435525270897081,0.621083194303224,0.59444003622588,0.553296210549505,0.41044663112456,0.452725641427106,"3"
"270",0.360983995169633,0.39599478069813,0.415828687091715,0.311106851968608,0.310207257232565,0.213905598303232,0.208126305548257,0.364988736761497,0.364486976760501,0.449864836911593,0.457499469883419,0.71844928235473,0.784289879768578,0.791869890318895,0.786233381342523,0.840310758885724,0.728644506105775,0.723912263226601,0.859696314970179,0.855958164325605,0.848484779070995,0.867934765291521,0.492283006998159,0.521780328903807,0.546795542657489,0.173512227614426,0.180513977821169,0.171644749174866,0.203476181631921,0.249026292584175,0.219735821255566,0.515593705293276,0.506749156355455,0.76551724137931,0.795292829775588,0.795292829775588,0.795292829775588,0.795292829775588,0.7834909978639,0.385267901570064,0.300349977880326,0.326476759281902,0.398629358071986,0.429841613397298,0.563946107066751,0.566964279409781,0.31109699441971,0.354715024908513,0.109103213167026,0.120443864626674,0.692758793505392,0.62935201396826,0.625502575682032,0.697485158959904,0.705360158657856,0.733018420400582,0.765584678583984,0.72121680440472,0.714000837448788,0.483237109621213,0.515594219588998,"3"
"978",0.646234967041631,0.646288031231866,0.692796152693265,0.710623531559335,0.680748260641585,0.455840923006947,0.494345340416026,0.76503666113999,0.764152172250225,0.984440402376713,0.981612424857476,0.798273647432753,0.76547356734144,0.76483912486759,0.711649271672866,0.774904922726237,0.789904166069198,0.769036456273795,0.827366364764188,0.816527789450493,0.691558293127595,0.702562279953502,0.495694869422899,0.525454903764041,0.595001157139551,0.635052534562212,0.528400512481989,0.395897282323875,0.444524654735581,0.714773235110953,0.719800072089391,0.775364534368826,0.700325137929187,0.893416927899686,0.906951286261631,0.906951286261631,0.906951286261631,0.906951286261631,0.901586817210863,0.243285265664842,0.342404304770483,0.38573355259431,0.44664301618335,0.45331410442767,0.424927529093091,0.425669370454965,0.255953429751143,0.306909520747969,0.170234984675868,0.177177533641226,0.542904611196297,0.547092194743306,0.520783429374219,0.432777332518081,0.457065533771471,0.602409576776029,0.613942525209116,0.403906328712814,0.43881471424947,0.345350166212964,0.391017521210772,"10"
"187",0.409777838712837,0.345041524173734,0.455891947876883,0.492820450256129,0.518745548009436,0.464218899200843,0.391609015797718,0.562231544192603,0.535053512093406,0.689807713328707,0.698315270152609,0.621001831140469,0.619951405932982,0.615658691040332,0.476076350080722,0.619324720351046,0.842728119417541,0.789628783256092,0.733162223012587,0.706436119530953,0.583675984320616,0.609004342825024,0.495694869422899,0.312757012415424,0.514001388567461,0.460765240289664,0.435441583137472,0.523098642766233,0.379004519087852,0.540662064266819,0.520383515559294,0.656013624906329,0.621759601478387,0.587878787878787,0.623477297895902,0.690414667158853,0.707149009474591,0.590008613264427,0.619469026548672,0.0587653538167121,0.177664721500716,0.156103070758859,0.28708158616087,0.279798453788749,0.210596226656546,0.187771293210677,0.135106313228769,0.120396921167215,0.0786050268710546,0.0790349824474957,0.491824355428852,0.59505743721459,0.475000465825012,0.349456661291515,0.394692967406046,0.468005437283263,0.572546467027579,0.43181971492314,0.442678658690108,0.278233226686315,0.325034296577317,"2"
